51.0227,7.69
53.0384,2.5
54.0336,10.39
55.0176,5.99
63.0227,4.0
65.0384,4.6
68.0129,7.09
68.9969,2.2
75.0227,3.6
76.0305,1.8
77.0383,125.57
78.0462,31.47
82.0285,12.29
88.0306,1.9
89.0383,99.1
90.0461,22.58
91.054,30.07
92.0492,5.69
92.0618,1.0
93.0571,1.4
95.0489,56.94
101.0383,5.69
102.0336,12.89
102.0462,17.68
103.0415,3.0
103.054,186.41
104.0492,289.21
104.0618,52.35
105.0333,53.35
105.0445,116.68
105.0569,5.29
114.0337,1.4
114.0462,13.59
115.0415,3.7
115.0541,26.07
116.0493,172.73
117.0571,12.79
118.0411,3.7
118.0649,20.18
119.0489,5.39
120.0442,15.18
127.0415,3.9
128.0494,31.07
129.0335,4.7
129.0446,7.59
129.0571,6.89
130.0286,190.61
130.0399,40.66
130.065,999.0
131.049,127.17
131.0683,6.29
131.0728,30.27
132.0442,12.19
132.0567,18.38
133.052,3.1
134.0598,3.6
140.0493,18.08
141.0572,14.19
142.0524,4.1
142.065,10.09
143.0603,2.7
144.0443,57.34
145.0521,6.19
146.0599,6.39
153.0447,2.4
154.0287,9.29
154.0651,3.1
157.0521,2.0
157.0759,2.2
158.0599,308.19
159.0678,165.13
160.0757,2.7
162.0549,9.99
168.0681,1.2
169.0759,3.4
170.0474,2.5
171.0552,6.99
172.0392,23.98
176.0705,15.28
185.0709,50.75
190.0498,40.76
197.0348,2.1
199.0501,153.45
212.0581,5.69
214.0738,1.2
