50.0038,2.0
64.0068,9.59
64.0194,11.89
65.0034,12.19
65.0146,615.88
65.9986,999.0
68.0143,62.54
79.9574,4.9
82.0298,20.58
91.0301,69.63
92.0141,117.68
102.0348,49.25
105.0344,3.7
114.0347,8.69
115.0426,147.05
115.0552,4.7
116.0504,143.86
117.0344,2.3
118.0297,27.97
128.0505,14.59
131.0374,4.4
140.0378,62.44
140.0504,42.16
141.0456,24.38
142.0297,382.12
143.0375,176.02
144.0453,700.0
154.0535,27.57
154.066,3.9
156.0453,27.27
160.0402,462.44
167.0615,2.3
168.033,29.87
168.0453,491.91
169.0405,623.78
170.0246,8.99
170.0609,53.95
171.0324,9.49
171.0447,2.0
172.0402,9.99
181.0531,20.48
182.037,5.99
182.0484,36.86
182.0607,18.98
183.0561,42.96
184.0402,89.01
185.0606,2.6
193.0405,17.08
195.0448,11.09
195.0561,141.56
196.0401,42.26
197.0354,24.78
198.043,2.0
198.0558,7.09
207.0561,4.2
209.0483,2.5
210.0431,43.16
211.0509,339.46
223.0509,269.63
224.0587,69.33
225.0666,57.54
237.0667,9.19
